supermercado,categoria,familia,nombre,producto_id,sku_id,marca,url,imagen,vendedor,precio_tarjeta,nombre_tarjeta,tarjeta_descuento_pct,precio_internet,precio_normal,precio_descuento,precio_regular,tiene_descuento,descuento_pct,fecha_extraccion
tottus,carne-de-res,res,Carne Molida De Res Corte Clásico Tottus x 500 g,113787352,113787354,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/113787352/carne-molida-de-res-corte-clasico-tottus,https://media.tottus.com.pe/tottusPE/42376798_1/public,TOTTUS,11.7,CMR,4.1,12.2,12.9,11.7,12.2,True,4.1,2026-07-01T09:04:00
tottus,carne-de-res,res,Bisteck Molido De Res Corte Clásico Tottus x 500 g,113787384,113787386,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/113787384/bisteck-molido-de-res-corte-clasico-tottus,https://media.tottus.com.pe/tottusPE/42376799_1/public,TOTTUS,,,,19.5,,19.5,,False,,2026-07-01T09:04:00
tottus,carne-de-res,res,Bisteck Tottus,115845404,115845405,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115845404/bisteck-tottus,https://media.tottus.com.pe/tottusPE/42092543_1/public,TOTTUS,40.9,CMR,4.7,42.9,43.9,40.9,42.9,True,4.7,2026-07-01T09:04:00
tottus,carne-de-res,res,Guiso Especial Tottus,115845406,115845407,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115845406/guiso-especial-tottus,https://media.tottus.com.pe/tottusPE/42092545_1/public,TOTTUS,,,,40.5,42.9,40.5,42.9,True,5.6,2026-07-01T09:04:00
tottus,carne-de-res,res,Bisteck Cadera Tottus x Kg,115845402,115845403,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115845402/bisteck-cadera-tottus-x-kg,https://media.tottus.com.pe/tottusPE/42092541_1/public,TOTTUS,,,,58.9,,58.9,,False,,2026-07-01T09:04:00
tottus,carne-de-res,res,Bisteck Molido Tottus,115851601,115851603,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115851601/bisteck-molido-tottus,https://media.tottus.com.pe/tottusPE/42542438_1/public,TOTTUS,,,,40.9,,40.9,,False,,2026-07-01T09:04:00
tottus,carne-de-res,res,Guiso Económico Tottus,115845557,115845558,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115845557/guiso-economico-tottus,https://media.tottus.com.pe/tottusPE/42092544_1/public,TOTTUS,35.9,CMR,5.3,37.9,39.9,35.9,37.9,True,5.3,2026-07-01T09:04:00
tottus,carne-de-res,res,Hígado De Res Tottus x Kg,115825153,115825154,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115825153/higado-de-res-tottus,https://media.tottus.com.pe/tottusPE/40537418_1/public,TOTTUS,,,,13.5,13.9,13.5,13.9,True,2.9,2026-07-01T09:04:00
tottus,carne-de-res,res,Picaña Corte Clásico Tottus,115844967,115844968,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115844967/picana-corte-clasico-tottus,https://media.tottus.com.pe/tottusPE/40251802_1/public,TOTTUS,,,,76.9,78.9,76.9,78.9,True,2.5,2026-07-01T09:04:00
tottus,carne-de-res,res,Carne Molida Tottus x Kg,115851716,115851721,TOTTUS,https://www.tottus.com.pe/tottus-pe/articulo/115851716/carne-molida-tottus-x-kg,https://media.tottus.com.pe/tottusPE/42542439_1/public,TOTTUS,,,,26.9,27.9,26.9,27.9,True,3.6,2026-07-01T09:04:00
